sku,brand,model_name,target_segment,cpu_model,cinebench_r23_score,gpu_model,threedmark_score,is_gpu_integrated,ram_gb,ram_generation,storage_gb,storage_type,display_size_inches,weight_kg,min_discount_price_inr,avg_normal_price_inr,max_mrp_price_inr,max_discount_percentage,current_price_inr,rating
SKU-DELL-0325,DELL,15 Intel Core i3 13th Gen 1305U,Professional,Intel 1305U,6800,Intel Iris Xe Graphics,1600,True,16,DDR4,512,SSD,16.0,1.7,37752,42900,50622,25.4,42900,4.2
SKU-HP-0326,HP,15 (2025) Intel Core i3 13th Gen 1315U,Student,Intel 1315U,7100,Intel Iris Xe Graphics,1600,True,16,DDR4,512,SSD,16.0,1.4,32551,36990,43648,25.4,36990,4.0
SKU-DELL-0327,DELL,15 Intel Core i3 12th Gen 1215U,Student,Intel 1215U,6500,Intel Iris Xe Graphics,1600,True,8,DDR4,512,SSD,15.6,1.4,31063,35299,41653,25.4,35299,4.2
SKU-HP-0328,HP,AMD Ryzen 5 Hexa Core 7535HS,Student,Intel Core i5,10500,AMD Radeon Graphics,1500,True,8,DDR5,512,SSD,15.6,1.4,35191,39990,47188,25.4,39990,3.9
SKU-ASUS-0329,ASUS,"Vivobook Go 15, 12th Gen, Equivalent to Intel 12th Gen, Intel Core i3 N305",Student,Intel Core i5,10500,Intel Iris Xe Graphics,1600,True,8,DDR4,512,SSD,15.6,1.4,33440,38000,44840,25.4,38000,4.3
SKU-LENOVO-0330,LENOVO,Yoga Slim 6 WUXGA OLED Intel Core i5 13th Gen 13500H,Creator,Intel 13500H,14500,Intel Iris Xe Graphics,1600,True,16,LPDDR5X,512,SSD,16.0,1.7,61591,69990,82588,25.4,69990,4.4
SKU-ASUS-0331,ASUS,TUF Gaming A15 AMD Ryzen 7 Octa Core 7435HS,Gamer,Intel Core i5,10500,AMD Radeon Graphics,1500,True,16,DDR5,512,SSD,16.0,2.2,49271,55990,66068,25.4,55990,4.3
SKU-LENOVO-0332,LENOVO,V 15 (2025) Intel Core i3 12th Gen 1215U,Student,Intel 1215U,6500,Intel Iris Xe Graphics,1600,True,16,DDR4,512,SSD,16.0,1.4,31671,35990,42468,25.4,35990,3.9
SKU-ASUS-0333,ASUS,"Vivobook 15 (2025) with Touchscreen & Backlit Keyboard, Intel Core i3 13th Gen 1315U",Student,Intel 1315U,7100,Intel Iris Xe Graphics,1600,True,8,DDR4,512,SSD,15.6,1.4,34311,38990,46008,25.4,38990,3.9
SKU-HP-0334,HP,OMEN Intel Core i7 14th Gen 14650HX,Gamer,Intel Core i5,10500,NVIDIA Dedicated Graphics,5000,False,16,DDR5,1024,SSD,14.0,2.2,63360,72000,84960,25.4,72000,4.1
SKU-ACER-0335,ACER,Aspire 7 Intel Core 5 210H,Gamer,Intel 210H,13500,NVIDIA Dedicated Graphics,5000,False,16,DDR4,512,SSD,15.6,2.2,61591,69990,82588,25.4,69990,4.4
SKU-HP-0336,HP,15s AMD Athlon Dual Core 3050U,Student,Intel Core i5,10500,AMD Radeon Graphics,1500,True,8,DDR4,512,SSD,15.6,1.4,33440,38000,44840,25.4,38000,4.1
SKU-HP-0337,HP,(2024) Intel Core i3 12th Gen 1215U,Student,Intel 1215U,6500,Intel Iris Xe Graphics,1600,True,8,DDR4,512,SSD,15.6,1.4,33439,37999,44839,25.4,37999,4.0
SKU-ASUS-0338,ASUS,TUF Gaming A15 (2025) AMD Ryzen 7 Octa Core 7435HS,Gamer,Intel Core i5,10500,AMD Radeon Graphics,1500,True,16,DDR5,1024,SSD,16.0,2.2,50151,56990,67248,25.4,56990,4.0
SKU-HP-0339,HP,15s Intel Core i5 11th Gen 1135G7,Student,Intel Core i5,10500,Intel Iris Xe Graphics,1600,True,8,DDR4,512,SSD,15.6,1.4,43111,48990,57808,25.4,48990,4.4
SKU-HP-0340,HP,15 (2025) AMD Ryzen 3 Quad Core 7320U,Student,AMD Ryzen 7 7320U,5800,AMD Radeon Graphics,1500,True,16,LPDDR5,512,SSD,16.0,1.4,36951,41990,49548,25.4,41990,3.5
